panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
primary_cfg3,3.0,P3S_B011,0.5,0.024156412400770932,0.006298728287220001,1.125,0.02694767592063024,6.1236065044760934,1.125,4.375,0.07521186440677967,8.875,27.285714285714285,10.625,6.625,0.605392591279688,0.16128946668764144,0.1736445906654308,0.14944271778094562,0.011846748906695638,0.003896174873207072,0.0010159185262560752
primary_cfg3,3.0,P3S_B012,0.3,0.00644495058298844,0.002865992486476898,1.0,0.012565612590453383,4.949777431739603,1.0,1.0,0.034482758620689655,2.0,30.333333333333332,5.875,2.75,0.5729166666666666,0.13072000419597063,0.13914204382480005,0.1226100697686722,0.008109934427298435,0.0008424839672510722,0.00037464254985788043
primary_cfg3,3.0,P3S_B012,0.5,0.022490462637506425,0.012188896536827087,1.0,0.026283678829046364,5.076999620661546,1.0,1.0,0.0847457627118644,10.0,25.75,13.875,8.25,0.4849431818181818,0.11858501590134152,0.12480939159472862,0.1125297606173273,0.006055255284014035,0.0026670318694972267,0.0014454204896394466
primary_cfg3,3.0,P3S_B013,0.3,0.010972656134981662,0.004233457148075104,1.5,0.03537577013887177,6.049551988101747,1.5,10.625,0.06681034482758622,3.875,30.714285714285715,11.75,4.25,0.4548611111111111,0.2712440290377237,0.3122330493961935,0.23370091358016343,0.037543115457560325,0.0029762674592979234,0.0011482999736024424
primary_cfg3,3.0,P3S_B013,0.5,0.037285353580955416,0.010621078312397003,1.25,0.03139992459324802,5.74081537997188,1.25,13.5,0.13135593220338984,15.5,24.75,13.875,12.125,0.5246150493290082,0.15261307126091883,0.16342440921812323,0.14220546150336666,0.010407609757552267,0.005690232323038904,0.0016209153813576433
primary_cfg3,3.0,P3S_B014,0.3,0.014092016033828259,0.0031141862273216248,1.125,0.023286982723264103,6.317026957576616,1.125,2.625,0.03879310344827586,2.25,30.5,7.0,2.5,0.6458333333333334,0.20598037070392583,0.22836354104323844,0.18497896931832464,0.021001401385601325,0.002902678686613611,0.0006414612335447684
primary_cfg3,3.0,P3S_B014,0.5,0.04218842042610049,0.011660121381282806,1.0,0.0247304626182708,6.770226123029763,1.0,1.0,0.09427966101694915,11.125,26.875,12.625,7.5,0.40682078956696954,0.16700056654161488,0.18038945602560472,0.15418690699115584,0.012813659550459081,0.00704549011265462,0.0019472468766182256
primary_cfg3,3.0,P3S_B015,0.3,0.006209245119471518,0.002297148108482361,1.0,0.019392551790414787,4.843484920631517,1.0,1.0,0.032327586206896554,1.875,30.2,7.375,2.5,0.2520833333333333,0.18317865570927105,0.20027325553199618,0.16698152222567253,0.01619713348359851,0.0011374011739541448,0.0004207885024768936
primary_cfg3,3.0,P3S_B015,0.5,0.028514927253127098,0.008984751999378204,1.0,0.021751986251255098,5.868900445968363,1.0,1.0,0.06779661016949153,8.0,25.5,11.5,6.5,0.5087568681318682,0.12312906824942438,0.13004908394095446,0.11641492949360725,0.006714138755817001,0.003511016423877658,0.001106284142135591
primary_cfg3,3.0,P3S_B016,0.3,0.00360327053203946,0.0016356483101844788,1.125,0.018626249359875082,5.564881152600911,1.125,4.0,0.03879310344827586,2.25,30.333333333333332,6.75,3.0,0.421875,0.2190960309724086,0.2448198841319021,0.1950894852609391,0.024006545711469478,0.0007894622720896847,0.00035836405282814633
